id,endereco,latitude,longitude
61,"San Pablo, San Pedro, Paraguay",-24.15,-57.0667
62,"Schkeuditz, Saxony, Germany",51.396351,12.221629
63,"Street, Somerset, England, United Kingdom",51.12558,-2.742173
64,"Rua Waldemiro José Borges 3671, Itinga, Joinville - Santa Catarina, Brazil",-26.380358,-48.823873
65,"San Pablo, San Pedro, Paraguay",-24.15,-57.0667
66,"Rua Antônio Rebelatto 1600, Boqueirão, Curitiba - Paraná, 81670, Brazil",-25.493454,-49.256079
67,"Servidão João José Correia Da Silveira, Porto Da Lagoa, Florianópolis - Santa Catarina, Brazil",-27.6148697,-48.4447092
68,"Casa, Arkansas, United States",35.022867,-93.047674
69,"2, 13710, Tambaú, São Paulo, Brazil",-21.705066,-47.268293
70,"Rua Igarapé, Guanabara, Joinville - Santa Catarina, 88207, Brazil",-26.3169444,-48.8266104
71,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
72,"San Pablo, San Pedro, Paraguay",-24.15,-57.0667
73,"Rua Vitório Sbaqueiro 773, Vista Alegre, Curitiba - Paraná, 82100, Brazil",-25.398612,-49.299543
74,"Rua Osório Mendes Ouriques, Hípica, Porto Alegre - Rio Grande do Sul, 91770, Brazil",-30.1609894,-51.2170054
75,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
76,"South Carolina, United States",33.9184118141,-80.9007732114739
77,"Rua João Dembinski 2380, Cidade Industrial De Curitiba, Curitiba - Paraná, 81230, Brazil",-25.469129,-49.34365
78,"Rua Victório Gasparin 53, Pilarzinho, Curitiba - Paraná, 82110, Brazil",-25.394635,-49.286225
79,"Delaware, United States",38.9978781537,-75.5055627423557
80,"Rua Tito Lívio Zambecari 155, Mont'Serrat, Porto Alegre - Rio Grande do Sul, 90450, Brazil",-30.028654,-51.194582
81,"Rua Haddock Lobo 200, São Paulo - São Paulo, 01414, Brazil",-23.555319,-46.659002
82,"Rua Dois Córregos 256, São Paulo - São Paulo, 03181, Brazil",-23.55849,-46.583379
83,"Schkeuditz, Saxony, Germany",51.396351,12.221629
84,"Rua Copacabana 487, Floresta, Joinville - Santa Catarina, 89211, Brazil",-26.328564,-48.857093
85,"Rua Engelberto Hagelmann 274, Costa E Silva, Joinville - Santa Catarina, 89217, Brazil",-26.282332,-48.87175
86,"Avenida Lajeado 361, Petrópolis, Porto Alegre - Rio Grande do Sul, 90470, Brazil",-30.039334,-51.184071
87,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
88,"Rua Yoshimara Minamoto 201, São Paulo - São Paulo, 05847, Brazil",-23.652771,-46.744109
89,"Rua Ramiro Barcelos, Rio Branco, Porto Alegre - Rio Grande do Sul, 90035, Brazil",-30.0317987,-51.2085141
90,"Rua Judith Passaldi Esteves 255, São Paulo - São Paulo, 05625, Brazil",-23.600239,-46.730651
91,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
92,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
93,"Travessa Abílio Nunes Vieira 148, Ingleses Centro, Florianópolis - Santa Catarina, 88958, Brazil",-27.43903,-48.40468
94,"Rua Amaro Bezerra Cavalcanti São Paulo - São Paulo, 03513, Brazil",-23.533709,-46.5225358
95,"Rua Macuco 100, Costa E Silva, Joinville - Santa Catarina, Brazil",-26.274335,-48.87983
96,"Rua Ogê Fortkamp 111, Trindade, Florianópolis - Santa Catarina, 88036, Brazil",-27.595223,-48.523191
97,"Rua Otto Pfuetzenreutter 442, Costa E Silva, Joinville - Santa Catarina, 89219, Brazil",-26.270236,-48.872033
98,"Rua Maria Homan Wisniewski 1130, Cidade Industrial De Curitiba, Curitiba - Paraná, 81270, Brazil",-25.454684,-49.353269
99,"Rua Nilo Cairo 176, Centro, Curitiba - Paraná, 80060, Brazil",-25.43225,-49.262084
100,"Avenida Furtado De Mendonça 853, São Paulo - São Paulo, 03968, Brazil",-23.599133,-46.470587
101,"Rua Joaquim Nabuco 1100, Monte Cristo, Florianópolis - Santa Catarina, 88090, Brazil",-27.591132,-48.601123
102,"Rua Arno Krelling 588, Pirabeiraba, Joinville - Santa Catarina, Brazil",-26.214203,-48.899378
103,"Rua Rubens Padilha Mendes 485, Cajuru, Curitiba - Paraná, 82900, Brazil",-25.450048,-49.2252
104,"Mendonça, São Paulo, Brazil",-21.1839,-49.5791
105,"Sabino, São Paulo, Brazil",-21.4598,-49.5777
106,"Rua Comandante Ademar Nunes Pires 165, Córrego Grande, Florianópolis - Santa Catarina, 88037, Brazil",-27.59658,-48.505229
107,"Rua, Viseu, Portugal",40.9437,-7.5719
108,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
109,"Servidão Martins Florianópolis - Santa Catarina, Brazil",-27.7566817,-48.512095
110,"Servidão Maria Filomena De Souza 3, Saco Grande, Florianópolis - Santa Catarina, Brazil",-27.537264,-48.513806
111,"Rua Paulo Roberto Anastácio 867, Paranaguá-Mirim, Joinville - Santa Catarina, 89234, Brazil",-26.349822,-48.773601
112,"Rua Matiambu 44, Monte Verde, Florianópolis - Santa Catarina, 88032, Brazil",-27.559016,-48.493566
113,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
114,"Rua Augusto Struck 13, Rio Bonito, Joinville - Santa Catarina, Brazil",-26.152077,-48.907207
115,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
116,"Nowa Wieś K, Powiat Przasnyski, Masovian Voivodeship, Poland",53.286599,20.807302
117,"Rua Coronel Genuíno 206, Centro Histórico, Porto Alegre - Rio Grande do Sul, 90050, Brazil",-30.036016,-51.227309
118,"Avenida Doutor Carlos Barbosa, Medianeira, Porto Alegre - Rio Grande do Sul, 90880, Brazil",-30.0626625,-51.2119341
119,"Avenida Sete De Setembro, Placa, Independência - Ceará, 63640, Brazil",-5.4004509,-40.3086965
120,"Avenida Diógenes Ribeiro De Lima 2361, São Paulo - São Paulo, 05458, Brazil",-23.540645,-46.71811
121,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
122,"Rua Monsenhor Gercino 1578, Itaum, Joinville - Santa Catarina, 80200, Brazil",-26.333394,-48.835884
123,"Rua Alves Maciel 112, São Paulo - São Paulo, 08310, Brazil",-23.619304,-46.471022
124,"San Pablo, San Pedro, Paraguay",-24.15,-57.0667
125,"San Pablo, San Pedro, Paraguay",-24.15,-57.0667
126,"Rua Sem Nome, Floresta, Joinville - Santa Catarina, 89212, Brazil",-26.3408776,-48.853599
127,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
128,"Rua Dom Wilson Laus Schmidt, Córrego Grande, Florianópolis - Santa Catarina, Brazil",-27.6062698,-48.5037187
129,"Šarani, Gornji Milanovac, Moravica, Serbia",44.024049,20.360396
130,"Schkeuditz, Saxony, Germany",51.396351,12.221629
131,"Rua Poetisa Colombina 145, São Paulo - São Paulo, 05593, Brazil",-23.58167,-46.736558
132,"Rua Dos Andradas 1255, Centro Histórico, Porto Alegre - Rio Grande do Sul, 90020, Brazil",-30.029925,-51.229178
133,"Rua Leopoldo Correia, Guanabara, Joinville - Santa Catarina, 89229, Brazil",-26.32902,-48.8219399
134,"Rua Robert Redzimski 121, Cidade Industrial De Curitiba, Curitiba - Paraná, 81270, Brazil",-25.45041,-49.354229
135,"Rue, Fribourg, Switzerland",46.619839,6.821521
136,"Rua Humberto Calixto Fruet 13, Cidade Industrial De Curitiba, Curitiba - Paraná, 81310, Brazil",-25.505517,-49.321552
137,"Rua Eurico Lara 181, Medianeira, Porto Alegre - Rio Grande do Sul, 90880, Brazil",-30.061667,-51.215187
138,"Servidão Gaetano Cappai, Cachoeira Do Bom Jesus Leste, Florianópolis - Santa Catarina, Brazil",-27.4269114,-48.4227677
139,"Rua Pastor William Richard Schisler Filho 655, Itacorubi, Florianópolis - Santa Catarina, Brazil",-27.575237,-48.509556
140,"São Paulo, São Paulo, Brazil",-23.5507,-46.6334
141,"Rua Reskala Snege 77, Alto Boqueirão, Curitiba - Paraná, 81850, Brazil",-25.528144,-49.250849
142,"Servidão Veredas, Capivari, Florianópolis - Santa Catarina, 88958, Brazil",-27.4433184,-48.4091783
143,"Rua Marabá 325, Floresta, Joinville - Santa Catarina, 88211, Brazil",-26.335282,-48.844176
144,"South Carolina, United States",33.9184118141,-80.9007732114739
145,"Rua Carlos Pessoa De Brum, Santo Antônio, Porto Alegre - Rio Grande do Sul, 90640, Brazil",-30.0573295,-51.2063850841739
146,"South Carolina, United States",33.9184118141,-80.9007732114739
147,"Rua Brigadeiro Armando Trompowsky 780, São Paulo - São Paulo, 05655, Brazil",-23.609442,-46.719454
148,"Travessa Antônio Francisco Alves, Capivari, Florianópolis - Santa Catarina, 88958, Brazil",-27.4402925,-48.408145
149,"Rua Ceará 44, Vila Nova, Joinville - Santa Catarina, Brazil",-26.283533,-48.921138
150,"Rua Luiz Tramontin 1820, Campo Comprido, Curitiba - Paraná, 81230, Brazil",-25.459562,-49.338165
151,"Rua Sarmento Leite 1052, Cidade Baixa, Porto Alegre - Rio Grande do Sul, 90050, Brazil",-30.038273,-51.224425
152,"2, 13710, Tambaú, São Paulo, Brazil",-21.705066,-47.268293
153,"Rua Ângelo Domingos Durigan 486, São João, Curitiba - Paraná, 82030, Brazil",-25.398332,-49.309582
154,"Rua Deputado Antônio Edu Vieira 828, Pantanal, Florianópolis - Santa Catarina, 88040, Brazil",-27.608415,-48.52088
155,"Rua Porto Do Bezerra 542, São Paulo - São Paulo, 08440, Brazil",-23.531535,-46.414372
156,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
157,"Rua Vital Brasil 129, Presidente Epitácio - São Paulo,, Brazil",-21.772033,-52.145567
158,"Rua Professora Lúcia Lopes 327, Guanabara, Joinville - Santa Catarina, 89229, Brazil",-26.327589,-48.819961
159,"Um, 13160, Artur Nogueira, São Paulo, Brazil",-22.57,-47.17
160,"Avenida Protásio Alves 978, Rio Branco, Porto Alegre - Rio Grande do Sul, 90410, Brazil",-30.039729,-51.19878
161,"Servidão Rita Maria Garcia, Capivari, Florianópolis - Santa Catarina, 88058, Brazil",-27.4529646,-48.4088391
162,"South Carolina, United States",33.9184118141,-80.9007732114739
163,"Alameda, Málaga, Spain",37.207707,-4.658201
164,"San Pablo, San Pedro, Paraguay",-24.15,-57.0667
165,"Schadda, Southern Nations, Ethiopia",7.038448613,36.49272535
166,"Rua Marquês Do Pombal 1571, Auxiliadora, Porto Alegre - Rio Grande do Sul, 90540, Brazil",-30.018789,-51.187461
167,"Rua Capinzal 473, Saguaçu, Joinville - Santa Catarina, 89221, Brazil",-26.286405,-48.841822
168,"Rua Duque De Caxias 657, Centro Histórico, Porto Alegre - Rio Grande do Sul, 90010, Brazil",-30.033766,-51.234334
169,"Rua Folha Da Tarde, Cristal, Porto Alegre - Rio Grande do Sul, 91910, Brazil",-30.0990523,-51.2461726
170,"Rua Norberto Jung 65, Sarandi, Porto Alegre - Rio Grande do Sul, 91130, Brazil",-30.004579,-51.12683
171,"Rua Marinheiro São Paulo - São Paulo, 02303, Brazil",-23.483893,-46.611439
172,"Rua Arnaldo Alvernaz Nunes 115, São Paulo - São Paulo, 02969, Brazil",-23.487257,-46.71397
173,"Rua Luiz Perini 319, Itaum, Joinville - Santa Catarina, 80200, Brazil",-26.330545,-48.834399
174,"Rua Itacir Luiz Miola 135, Tatuquara, Curitiba - Paraná, 81470, Brazil",-25.577336,-49.335935
175,"Rodovia Amaro Antônio Vieira 2155, Itacorubi, Florianópolis - Santa Catarina, 88034, Brazil",-27.583793,-48.499174
176,"Rua Esquivel Navarro 121, São Paulo - São Paulo, 03928, Brazil",-23.603521,-46.504536
177,"Schkeuditz, Saxony, Germany",51.396351,12.221629
178,"Rua Iracema Sommer 421, Rubem Berta, Porto Alegre - Rio Grande do Sul, 91250, Brazil",-30.023878,-51.088454
179,"Rua, Viseu, Portugal",40.9437,-7.5719
180,"Luz, Faro, Portugal",37.0896,-8.7403
181,"Sala, Västmanland, Sweden",59.920227,16.605644
