RUA SAO JOAQUIM,73,ENTRADA CASA 5,PORTO ALEGRE,RS
RUA MARIA ALICE ANCIAES,118,SÃO PAULO,SP,
RUA VITORIA SBALQUEIRO,773,CURITIBA,PR,
RUA OSORIO MENDES OURIQUES,332,CASA 42,PORTO ALEGRE,RS
RUA JOAO PARIS,801,CASA 2,PORTO ALEGRE,RS
RUA OTTO A GANZENMULLER,524,JOINVILLE,SC,
RUA JOAO DEMBINSKI,2380,BLOCO B1 APARTAMENTO 22,CURITIBA,PR
RUA VICTORIO GASPARIN,53,CURITIBA,PR,
RUA JOSE SOARES DE MACEDO,10,CASA 1,SÃO PAULO,SP
RUA DOUTOR FREIRE ALEMAO,155,APARTAMENTO 401,PORTO ALEGRE,RS
RUA HADDOCK LOBO,200,APARTAMENTO 82,SÃO PAULO,SP
RUA DOIS CORREGOS,256,SÃO PAULO,SP,
SERVIDAO 12 DE OUTUBRO,SN,CASA 1,JOINVILLE,SC
RUA COPACABANA,487,BLOCO A APARTAMENTO 303,JOINVILLE,SC
RUA ENGELBERT HAGEMANN,274,CASA,JOINVILLE,SC
AVENIDA LAGEADO,361,APARTAMENTO 701,PORTO ALEGRE,RS
RUA UM,272,FRENTE,PORTO ALEGRE,RS
RUA YOSHIMARA MINAMOTO,201,SÃO PAULO,SP,
RUA RAMIRO BARCELOS,2129,APARTAMENTO 24,PORTO ALEGRE,RS
RUA JUDITH PASSALD ESTEVES,255,BLOCO C ANDAR 4 APARTAMENTO 44,SÃO PAULO,SP
RUA CORREA LIMA,140,PORTO ALEGRE,RS,
RUA JACINTO GOMES,24,APARTAMENTO 43,PORTO ALEGRE,RS
TRAVESSAO ABILIO NUNES VIEIRA,148,FLORIANÓPOLIS,SC,
RUA AMARO BEZERRA CAVALCANTI,658,CASA 2,SÃO PAULO,SP
RUA MACUCO,100,QUITINETE 1,JOINVILLE,SC
RUA OGE FORTKAMP,111,BLOCO C APARTAMENTO 103,FLORIANÓPOLIS,SC
RUA OTTO PFEUTZENREUTER,442,APARTAMENTO 22,JOINVILLE,SC
RUA MARIA HOMAN WISNIEWSKI,1130,BLOCO 7 APARTAMENTO 1,CURITIBA,PR
RUA NILO CAIRO,176,ANDAR 01 APARTAMENTO 12,CURITIBA,PR
AVENIDA FURTADO DE MENDONCA,853,CASA,SÃO PAULO,SP
RUA JOAQUIM NABUCO,1100,BLOCO 40 APARTAMENTO 104,FLORIANÓPOLIS,SC
RUA ARNO KRELLING,588,JOINVILLE,SC,
RUA RUBENS PADILHA MENDES,485,FUNDOS,CURITIBA,PR
RUA MENDONCA JUNIOR,400,CASA,SÃO PAULO,SP
RUA SABINO RODRGUES DONA SILVA,665,SÃO PAULO,SP,
RUA COMANDANTE ADEMAR NUNES PIRES,165,FLORIANÓPOLIS,SC,
RUA REI DAVID,280,CASA 1,CURITIBA,PR
RUA RIACHUELO,251,APARTAMENTO 201,PORTO ALEGRE,RS
SERVIDAO MARTINS,62,FLORIANÓPOLIS,SC,
SERVIDAO MARIA FILOMENA DE SOUZA,3,FLORIANÓPOLIS,SC,
RUA PAULO ROBERTO ANASTACIO,867,SOBRADO LADO B,JOINVILLE,SC
RUA MATIAMBU,44,FLORIANÓPOLIS,SC,
RUA JARBAS PEREIRA,26,CASA,PORTO ALEGRE,RS
RUA AUGUSTO STRUCK,13,JOINVILLE,SC,
RUA DARCY MARQUES DONA SILVA,105,PORTO ALEGRE,RS,
AVENIDA PEDRO VAZ DE CAMINHAS,790,BLOCO 6 APARTAMENTO 1,CURITIBA,PR
RUA CORONEL GENUINO,206,APARTAMENTO 1107,PORTO ALEGRE,RS
AVENIDA DOUTOR CARLOS BARBOSA,410,APARTAMENTO 402,PORTO ALEGRE,RS
AVENIDA SETE DE SETEMBRO,5485,APARTAMENTO 702,CURITIBA,PR
AVENIDA DIOGENES RIBEIRO DE LIMA,2361,BLOCO PET ROYAL APARTAMENTO 83,SÃO PAULO,SP
AVENIDA FARRAPOS,3966,APARTAMENTO 31,PORTO ALEGRE,RS
RUA MONSENHOR GERCINO,1578,FUNDOS,JOINVILLE,SC
RUA ALVES MACIEL,112,SÃO PAULO,SP,
ALAMEDA DOS EUCALIPTOS,208,CASA,SÃO PAULO,SP
RUA DIDENA,154,SÃO PAULO,SP,
RUA SEM NOME 755,10,GARAGEM 176,JOINVILLE,SC
TRAVESSA COLONIA,41,PORTO ALEGRE,RS,
RUA DOM WILSON LAUS SCHMIDT,198,FLORIANÓPOLIS,SC,
AVENIDA SARANDI,940,APARTAMENTO 603,PORTO ALEGRE,RS
RUA PEDRA DE LISTRAS,SN,CASA,FLORIANÓPOLIS,SC
RUA POETISA COLOMBINA,145,BLOCO A ANDAR 1 APARTAMENTO 13,SÃO PAULO,SP
RUA DOS ANDRADAS,1255,PORTO ALEGRE,RS,
RUA LEOPOLDO CORREIA,300,JOINVILLE,SC,
RUA ROBERT REDZIMSKI,121,APARTAMENTO 2,CURITIBA,PR
RUA ANA MARIA NUNES,202,FRENTE,FLORIANÓPOLIS,SC
RUA HUMBERTO CALIXTO FRUET,13,CURITIBA,PR,
RUA EURICO LARA,181,BLOCO 6 APARTAMENTO 410,PORTO ALEGRE,RS
RUA GAETANO CAPPAI,65,FLORIANÓPOLIS,SC,
RUA PASTOR WILLIAM RICHARD,655,BLOCO DOM APARTAMENTO 408,FLORIANÓPOLIS,SC
RUA JOSE VICENTE DONA CRUZ,99 B,SÃO PAULO,SP,
RUA RESKALA SNEGE,77,CASA 2,CURITIBA,PR
SERVIDAO VEREDAS,310,FLORIANÓPOLIS,SC,
RUA MARABA,325,COBERTURA,JOINVILLE,SC
SERVIDAO VALDEVINO MARQUES DONA NATIVIDADE,141,FLORIANÓPOLIS,SC,
RUA DOUTOR CARLOS PESSOA DE BRUM,70,APARTAMENTO 103,PORTO ALEGRE,RS
RUA ANDRE F DONA SILVA,108,JOINVILLE,SC,
RUA BRIGADEIRO ARMANDO TROMPOWSKI,780,SÃO PAULO,SP,
TRAVESSAO ANTONIO FRANCISCO ALVES,266,FLORIANÓPOLIS,SC,
RUA CEARA,44,JOINVILLE,SC,
RUA LUIZ TRAMONTIN,1820,LOTE 4,CURITIBA,PR
RUA SARMENTO LEITE,1052,APARTAMENTO 401,PORTO ALEGRE,RS
RUA GENERAL MANUEL CAVALCANTE PROENCA,50,CASA 2 FUNDOS,SÃO PAULO,SP
RUA ANGELO DOMINGOS DURIGAN,486,CASA 3,CURITIBA,PR
